Number of Peaks,Spectral Centroid,Wavelet Entropy,Lempel_Ziv Complexity,x75th Percentile,Standard Deviation of Spectral Amplitude,Instantaneous Phase Std,File,Segment,SCR_recoveryTime_min,SCR_latency_mean,SCR_latency_std,Rise_Time,Time_to_Peak,SCL_tonic_std,PP,A,D,E,N,P,age,sex,香味,emotion
5628.0,0.4288160497184684,9.822999093685253,0.001458280923363,6.753553965215494,7.454383626757452e-05,0.5861553542725971,6030801.0,3.0,0.0,241.12789473684208,93.67355994308092,3.118571429,156.1245714,0.7327215010002567,-2.0,-1.25,-1.25,34.15,58.75,52.37,21.0,2.0,薰衣草,无聊
177.0,0.1301769726045663,9.14825262279492,0.0014787682676418,8.968990916160905,96.60934933356216,0.6566448425851685,6040801.0,1.0,0.0,0.0,0.0,3.178857143,151.2942857,0.5824220994451133,-1.5,-1.33,0.5,34.15,58.75,52.37,21.0,2.0,0,无聊
48.0,0.4010874582408565,11.024399792201354,0.0065805037573785,10.242857577005251,0.0023646549998561,0.1226883175116143,6040801.0,2.0,0.0299999999999727,87.6704761904762,79.07102253376485,3.844782609,101.9965217,0.2410439782323536,-2.0,-0.5,-0.5,34.15,58.75,52.37,21.0,2.0,0,悲伤
303.0,0.3979557330328716,10.983948883241956,0.005923933377983,10.999209829484409,0.0016052834945591,0.0881537018906449,6040801.0,3.0,0.3700000000000045,141.96739130434784,83.57666718374533,2.994193548,137.9677419,0.1540108773938836,0.5,1.0,0.25,34.15,58.75,52.37,21.0,2.0,薄荷,惊奇
15093.0,0.2098459017823247,9.148607367701558,0.0024647612289951,7.955040115768852,103.99009780328892,0.7104030622620048,7010802.0,1.0,0.0,0.0,0.0,3.5146875,150.0265625,0.6048765913883983,-0.5,-0.33,1.75,47.9,69.4,59.9,24.0,1.0,0,依赖
8855.0,49.41628264416579,11.003361045691516,0.0071713185288007,8.276613787105422,0.1668033805710321,0.1479470171548528,7010802.0,2.0,0.079999999999984,121.19666666666664,71.01082139755572,4.163157895,76.77105263,0.2025645843552995,1.0,1.25,1.0,47.9,69.4,59.9,24.0,1.0,0,惊奇
15439.0,49.44532486499645,11.099216023827909,0.0120744698284937,8.802915186420154,0.1667909466188799,0.1719862790347296,7010802.0,3.0,0.07000000000005,150.71275862068967,133.34500737706685,4.159615385,181.5123077,0.2986490066572678,-1.5,-1.25,-1.75,47.9,69.4,59.9,24.0,1.0,无香,无聊
119.0,0.1302251773186931,9.148252738027724,0.0029349828914097,8.63142274214414,129.31843846391024,0.6471643541242122,7020801.0,1.0,0.0,0.0,0.0,3.195625,149.57125,0.5989377925902352,-1.5,-1.0,0.0,47.9,69.4,59.9,24.0,1.0,0,无聊
45.0,0.4037991100637729,11.193613978276025,0.0120114821177056,7.950135942686817,0.0025700713023213,0.1293627426145895,7020801.0,2.0,0.0300000000000011,72.24583333333334,78.56837462345916,3.747272727,85.77590909,0.2234207175609233,0.5,0.75,0.25,47.9,69.4,59.9,24.0,1.0,0,惊奇
236.0,0.3941909537241067,11.40396347547678,0.0154817080161508,8.62003787340212,0.0021172413402703,0.082738542222327,7020801.0,3.0,0.079999999999984,164.7823076923077,78.30325699620047,3.21,138.7165625,0.1194027972498022,-1.0,-0.75,-0.75,47.9,69.4,59.9,24.0,1.0,柠檬,无聊
15516.0,0.1831696943249079,9.148684629498478,0.0014423981174933,7.717250428221329,156.51964255794388,0.7766255581206689,7030731.0,1.0,0.0,0.0,0.0,3.278571429,153.166,0.6142641963919823,-0.25,-1.0,-1.25,47.9,69.4,59.9,24.0,1.0,0,无聊
14523.0,49.16953916865568,11.57987543495625,0.0117392411849492,8.890583776443096,0.1667956179879485,0.1440511521093964,7030731.0,2.0,0.0699999999999931,161.07315789473682,124.17550156946297,3.128214286,167.3485714,0.2592670748512587,-0.5,-0.75,0.25,47.9,69.4,59.9,24.0,1.0,0,无聊
14849.0,49.331049663006006,11.207744957955477,0.0090049547336821,9.080020908048969,0.1667864451858728,0.1248581099833294,7030731.0,3.0,0.0699999999999931,142.77041666666665,103.75405624517236,3.042258065,147.6325806,0.2087862368377129,-0.25,-0.75,0.75,47.9,69.4,59.9,24.0,1.0,薰衣草,依赖
14961.0,0.1955097485916485,9.148540175784134,0.0044718988351032,9.316589158943636,126.9013531569342,0.7070634557768906,7040801.0,1.0,0.0,0.0,0.0,3.233684211,153.2847368,0.6012835984595486,-0.25,0.33,0.5,47.9,69.4,59.9,24.0,1.0,0,焦虑
10816.0,48.83402717609105,11.409183593114632,0.0166416437267528,9.592308908021325,0.1667992071255195,0.1417920002884048,7040801.0,2.0,0.0699999999999931,111.46045454545455,86.35833893920635,3.3356,111.6516,0.2523862082962256,-0.5,-0.75,-1.25,47.9,69.4,59.9,24.0,1.0,0,无聊
15016.0,48.39776514599747,11.69045630141762,0.0123815977196955,11.047918855812638,0.1668181165697589,0.21921816711496,7040801.0,3.0,0.08,123.94227272727272,95.3913898311877,3.102727273,144.1866667,0.2713244832470775,-1.25,-1.5,-2.0,47.9,69.4,59.9,24.0,1.0,薄荷,无聊
10303.0,0.1301668169262053,9.148651121935083,0.0014901383461291,0.6060437006115758,91.42350418704652,1.3131364534919856,8010807.0,1.0,0.0,0.0,0.0,3.0025,152.5052778,0.7236169857954845,-0.75,-1.0,-2.0,24.1,68.4,62.7,20.0,2.0,0,无聊
62.0,0.390674535364555,11.158708735905158,0.0124190375418657,5.940058077859961,0.0021612578158464,0.1351255172865039,8010807.0,2.0,0.4299999999999926,70.1825,49.75461982318828,3.993529412,68.84647059,0.218281040820614,-0.25,0.0,2.25,24.1,68.4,62.7,20.0,2.0,0,依赖
6977.0,0.4232126306356848,9.74041744318019,0.0024379381631294,1.829533235401408,0.0001376617142257,0.8284368769825008,8010807.0,3.0,0.0699999999999931,289.3458333333334,9.959278135097057,2.887368421,164.3339474,0.6681194203141713,-0.5,-0.5,-0.5,24.1,68.4,62.7,20.0,2.0,无香,悲伤
11904.0,0.1302071976343755,9.148696427722038,0.0014979570942075,0.3554084389702328,88.35634039562902,1.3683118654312345,8020808.0,1.0,0.0,0.0,0.0,3.208529412,153.7638235,0.7212295222621771,-0.25,-0.67,-1.25,24.1,68.4,62.7,20.0,2.0,0,无聊
174.0,0.3910548989946122,10.616721395076514,0.0048923933060924,5.784579089009143,0.0016214727470124,0.2778994370224226,8020808.0,2.0,0.3000000000000007,49.544,33.32389509046024,3.591428571,65.88571429,0.4298630594876821,-1.0,-0.25,2.0,24.1,68.4,62.7,20.0,2.0,0,藐视
10267.0,0.4228305147533658,9.72016986243404,0.0014149939178651,0.7349788127703689,4.0512522942158544e-05,0.8746522132296753,8020808.0,3.0,0.0699999999999931,297.2571428571428,13.279275382861732,3.224722222,162.1402778,0.6853397160707789,-0.25,-0.25,-0.25,24.1,68.4,62.7,20.0,2.0,柠檬,悲伤
6665.0,0.1302205390477041,9.14863957063048,0.0014800078545073,1.7810113862936894,108.81638471562702,1.204403712719329,8030806.0,1.0,0.0,0.0,0.0,3.202647059,153.7602941,0.7140550623929474,0.25,-0.67,0.25,24.1,68.4,62.7,20.0,2.0,0,依赖
50.0,0.3853858925095619,11.485099297396118,0.0062068108345762,7.833929599185119,0.0046075949259231,0.2305307425954606,8030806.0,2.0,0.7000000000000011,67.44500000000001,64.59227383585218,3.732777778,67.20111111,0.368934652789625,-0.75,0.25,1.0,24.1,68.4,62.7,20.0,2.0,0,藐视
